satellite_sf,strength,log_mh_perh,log_sm_smhm,log_accreted,ratio,log_icl,f_icl
true,2,13.5954,11.2636,10.9891,0.5315,11.6787,0.7223
true,2,13.7433,11.3170,11.0655,0.5604,11.8040,0.7542
true,2,13.8911,11.3704,11.1442,0.5940,11.9313,0.7844
true,2,14.0386,11.4237,11.2115,0.6135,12.0501,0.8088
true,2,14.1858,11.4768,11.2755,0.6290,12.1620,0.8289
true,2,14.3328,11.5299,11.3365,0.6406,12.2691,0.8458
true,2,14.4794,11.5829,11.3953,0.6493,12.3730,0.8605
true,2,14.6256,11.6357,11.4425,0.6409,12.4635,0.8706
true,3,10.3163,7.7203,NaN,0.0000,6.5174,0.0590
true,3,10.4658,8.0623,NaN,0.0000,6.8393,0.0565
true,3,10.6154,8.4026,NaN,0.0000,7.1517,0.0531
true,3,10.7649,8.7396,NaN,0.0000,7.4512,0.0490
true,3,10.9144,9.0704,NaN,0.0000,7.7469,0.0453
true,3,11.0638,9.3901,NaN,0.0000,8.0411,0.0429
true,3,11.2133,9.6905,5.7839,0.0001,8.3397,0.0427
true,3,11.3626,9.9607,6.8991,0.0009,8.6297,0.0446
true,3,11.5120,10.1894,7.6242,0.0027,8.9159,0.0506
true,3,11.6613,10.3709,8.1372,0.0058,9.1960,0.0627
true,3,11.8105,10.5085,8.5586,0.0112,9.4745,0.0846
true,3,11.9597,10.6126,8.9151,0.0201,9.7320,0.1163
true,3,12.1089,10.6947,9.2133,0.0330,9.9851,0.1633
true,3,12.2579,10.7638,9.4622,0.0499,10.2175,0.2213
true,3,12.4069,10.8257,9.6893,0.0731,10.4338,0.2886
true,3,12.5559,10.8837,9.8914,0.1018,10.6387,0.3626
true,3,12.7047,10.9396,10.0601,0.1320,10.8289,0.4366
true,3,12.8535,10.9945,10.2109,0.1646,11.0061,0.5067
true,3,13.0021,11.0487,10.3462,0.1984,11.1768,0.5732
true,3,13.1506,11.1027,10.4604,0.2279,11.3301,0.6280
true,3,13.2991,11.1564,10.5703,0.2594,11.4841,0.6802
true,3,13.4473,11.2101,10.6703,0.2886,11.6284,0.7238
true,3,13.5954,11.2636,10.7598,0.3135,11.7671,0.7612
true,3,13.7433,11.3170,10.8335,0.3284,11.8913,0.7896
true,3,13.8911,11.3704,10.9063,0.3435,12.0217,0.8175
true,3,14.0386,11.4237,10.9718,0.3533,12.1368,0.8378
true,3,14.1858,11.4768,11.0312,0.3584,12.2492,0.8555
true,3,14.3328,11.5299,11.0921,0.3649,12.3578,0.8706
true,3,14.4794,11.5829,11.1493,0.3685,12.4629,0.8835
true,3,14.6256,11.6357,11.1957,0.3631,12.5603,0.8937
true,4,10.3163,7.7203,NaN,0.0000,6.5737,0.0666
true,4,10.4658,8.0623,NaN,0.0000,6.8928,0.0634
true,4,10.6154,8.4026,NaN,0.0000,7.2010,0.0592
true,4,10.7649,8.7396,NaN,0.0000,7.4965,0.0541
true,4,10.9144,9.0704,NaN,0.0000,7.7942,0.0503
true,4,11.0638,9.3901,NaN,0.0000,8.0956,0.0483
true,4,11.2133,9.6905,NaN,0.0000,8.3883,0.0475
true,4,11.3626,9.9607,6.3417,0.0002,8.6802,0.0498
true,4,11.5120,10.1894,7.1809,0.0010,8.9672,0.0566
true,4,11.6613,10.3709,7.8286,0.0029,9.2544,0.0710
true,4,11.8105,10.5085,8.2997,0.0062,9.5299,0.0951
true,4,11.9597,10.6126,8.6904,0.0120,9.7946,0.1320
true,4,12.1089,10.6947,8.9994,0.0202,10.0435,0.1825
true,4,12.2579,10.7638,9.2709,0.0321,10.2824,0.2482
true,4,12.4069,10.8257,9.4849,0.0456,10.4932,0.3174
true,4,12.5559,10.8837,9.6843,0.0632,10.6909,0.3908
true,4,12.7047,10.9396,9.8506,0.0815,10.8844,0.4683
true,4,12.8535,10.9945,10.0044,0.1023,11.0599,0.5376
true,4,13.0021,11.0487,10.1352,0.1220,11.2279,0.6017
